service,month,compute_cost,storage_cost,network_cost,third_party_cost,total_cost
PaymentGW,2025-10,2100,300,800,600,3800
PaymentGW,2025-11,2200,300,850,650,4000
PaymentGW,2025-12,2150,310,830,610,3900
PaymentGW,2026-01,2300,320,880,700,4200
PaymentGW,2026-02,2600,340,1000,860,4800
PaymentGW,2026-03,4100,380,1500,1520,7500
OrderSvc,2025-10,1100,400,300,100,1900
OrderSvc,2025-11,1150,410,310,100,1970
OrderSvc,2025-12,1200,420,310,100,2030
OrderSvc,2026-01,1200,430,320,150,2100
OrderSvc,2026-02,1250,440,330,180,2200
OrderSvc,2026-03,1300,450,340,210,2300
AuthSvc,2025-10,800,100,350,100,1350
AuthSvc,2025-11,820,100,360,100,1380
AuthSvc,2025-12,850,100,370,100,1420
AuthSvc,2026-01,880,110,380,130,1500
AuthSvc,2026-02,880,110,380,130,1500
AuthSvc,2026-03,900,120,400,180,1600
NotificationSvc,2025-10,300,50,100,250,700
NotificationSvc,2025-11,310,50,110,260,730
NotificationSvc,2025-12,320,55,110,270,755
NotificationSvc,2026-01,330,55,115,300,800
NotificationSvc,2026-02,340,60,120,330,850
NotificationSvc,2026-03,350,60,130,360,900
ReportingSvc,2025-10,1800,600,200,300,2900
ReportingSvc,2025-11,1850,620,210,320,3000
ReportingSvc,2025-12,1900,640,220,340,3100
ReportingSvc,2026-01,1950,660,230,360,3200
ReportingSvc,2026-02,2000,700,250,450,3400
ReportingSvc,2026-03,2050,720,270,560,3600
FraudDetector,2025-10,2800,200,400,1200,4600
FraudDetector,2025-11,2900,210,420,1270,4800
FraudDetector,2025-12,2950,210,430,1310,4900
FraudDetector,2026-01,3000,220,450,1430,5100
FraudDetector,2026-02,3100,230,470,1500,5300
FraudDetector,2026-03,3200,240,490,1570,5500
